company_name,industry,company_size,website_visits,email_clicks,ad_impressions,ad_clicks,conversions,ad_click_through_rate,conversion_rate,qualified,lead_score,strategy,lead_efficiency,lead_efficiency_norm
Hanson-Garcia,leverage best-of-breed eyeballs,10,5030,119,20223,1576,216,0.0779310685852742,0.1370558375634517,0,1.0,Aggressive multi-channel approach with personalized content.,2.661278399290324e-05,0.0009470138828408093
Gibson and Sons,drive robust content,50,8099,333,47308,114,418,0.0024097404244525,3.6666666666666665,1,1.0,Aggressive multi-channel approach with personalized content.,0.000434799794458279,0.015666781566111166
Conrad and Sons,benchmark turn-key relationships,500,5121,59,27164,111,467,0.0040862906788396,4.207207207207207,1,1.0,Aggressive multi-channel approach with personalized content.,0.0008120453980326592,0.02927076087407351
"Wheeler, Rivera and Cummings",maximize dot-com action-items,100,6807,282,28057,1467,356,0.0522864169369497,0.2426721199727334,0,1.0,Aggressive multi-channel approach with personalized content.,3.422737940377058e-05,0.001221606343101304
"Perry, Case and Wall",maximize web-enabled bandwidth,100,3207,479,12166,1385,405,0.1138418543481834,0.2924187725631769,1,1.0,Aggressive multi-channel approach with personalized content.,7.931076012019987e-05,0.0028473731448564045
Kerr-Solis,synergize magnetic convergence,1000,2373,108,41684,1603,176,0.0384560023030419,0.1097941359950093,0,1.0,Aggressive multi-channel approach with personalized content.,4.423615471192961e-05,0.0015825361217392511
"Diaz, Stout and Garcia",enable sexy models,10,9716,32,18949,469,283,0.0247506464721093,0.603411513859275,1,1.0,Aggressive multi-channel approach with personalized content.,6.189470857106113e-05,0.0022193271115666497
"Sanders, Doyle and Brady",seize bricks-and-clicks interfaces,50,7193,397,26253,435,243,0.0165695349102959,0.5586206896551724,1,1.0,Aggressive multi-channel approach with personalized content.,7.358986821962487e-05,0.0026410701573567324
Johnson-Bates,redefine wireless convergence,50,3011,395,42213,68,148,0.001610878165494,2.176470588235294,1,1.0,Aggressive multi-channel approach with personalized content.,0.0006388231841019354,0.02302413694614649
Parsons Ltd,harness customized partnerships,50,7815,127,28808,1524,279,0.0529019716745348,0.1830708661417323,0,1.0,Aggressive multi-channel approach with personalized content.,2.304807580784745e-05,0.0008184657541709372
"Avila, Oconnor and Haas",evolve real-time bandwidth,100,5702,34,3663,1267,197,0.3458913458913459,0.1554853985793212,0,1.0,Aggressive multi-channel approach with personalized content.,2.710221345290591e-05,0.000964663361545127
Jones Group,maximize holistic systems,500,8725,143,20789,1915,375,0.0921160228967242,0.195822454308094,0,1.0,Aggressive multi-channel approach with personalized content.,2.207942883167144e-05,0.0007835350530686231
"Kelly, West and Horne",productize one-to-one experiences,500,1386,118,11422,246,156,0.0215373839957975,0.6341463414634146,1,1.0,Aggressive multi-channel approach with personalized content.,0.000421359695324528,0.015182113676598009
Morrison Ltd,grow mission-critical networks,500,7028,268,26970,818,234,0.0303299962921764,0.2860635696821516,1,1.0,Aggressive multi-channel approach with personalized content.,3.9202901148712016e-05,0.001401030289260439
Simpson Inc,enhance cutting-edge technologies,500,343,406,9020,1593,53,0.1766075388026607,0.0332705586942875,0,1.0,Aggressive multi-channel approach with personalized content.,4.436074492571667e-05,0.0015870290109188054
Garrison and Sons,monetize integrated web services,500,6270,461,39914,248,257,0.0062133587212506,1.0362903225806452,1,1.0,Aggressive multi-channel approach with personalized content.,0.00015393498552891344,0.005538422182178576
"Braun, Tran and Vargas",innovate wireless ROI,1000,4453,212,19517,391,64,0.0200338166726443,0.1636828644501279,0,1.0,Aggressive multi-channel approach with personalized content.,3.5079910940876104e-05,0.0012523497666966491
"Mitchell, Brooks and Thompson",grow dynamic supply-chains,100,1828,459,7726,1181,471,0.1528604711364224,0.3988145639288738,1,1.0,Aggressive multi-channel approach with personalized content.,0.00017430706465422808,0.0062730665100515955
Harrington-Henderson,re-intermediate front-end technologies,100,1286,485,37586,279,119,0.0074229766402383,0.4265232974910394,1,1.0,Aggressive multi-channel approach with personalized content.,0.00024070163515295677,0.008667343221742061
"Hernandez, Gutierrez and Hahn",transition rich systems,50,4597,473,30908,224,393,0.0072473146111039,1.7544642857142858,1,1.0,Aggressive multi-channel approach with personalized content.,0.0003459799419669268,0.012463819294370904
Tucker-Watson,empower synergistic info-mediaries,1000,9293,14,43386,446,146,0.0102798137648089,0.3273542600896861,1,1.0,Aggressive multi-channel approach with personalized content.,3.516912979046907e-05,0.00125556711733571
"Cox, Gray and Atkinson",reinvent real-time initiatives,1000,466,43,14343,447,115,0.0311650282367705,0.2572706935123042,1,1.0,Aggressive multi-channel approach with personalized content.,0.0005044523402202043,0.018178545208454862
"Santana, Cline and Kelly",embrace B2C web-readiness,1000,5267,53,4080,110,326,0.0269607843137254,2.963636363636364,1,1.0,Aggressive multi-channel approach with personalized content.,0.0005569698108694539,0.020072395202330395
"Stevens, Estrada and Cuevas",extend user-centric synergies,100,2953,218,10600,1159,121,0.1093396226415094,0.1044003451251078,0,1.0,Aggressive multi-channel approach with personalized content.,3.2913097454321504e-05,0.0011742115841545415
Bailey-Anderson,generate mission-critical schemas,1000,7471,157,3279,525,123,0.1601097895699908,0.2342857142857143,0,1.0,Aggressive multi-channel approach with personalized content.,3.070988521244125e-05,0.001094760813978293
"Smith, Reynolds and Gonzalez",brand integrated schemas,100,9779,45,17505,399,23,0.0227934875749785,0.0576441102756892,0,1.0,Aggressive multi-channel approach with personalized content.,5.867085015337323e-06,0.00019889632508542188
Moyer LLC,facilitate plug-and-play synergies,1000,2384,262,41753,201,253,0.0048140253394965,1.2587064676616917,1,1.0,Aggressive multi-channel approach with personalized content.,0.0004755218993810698,0.017135274949459742
Anderson-Bowman,cultivate compelling web services,1000,8224,144,27039,978,182,0.0361699767003217,0.1860940695296523,0,1.0,Aggressive multi-channel approach with personalized content.,2.2236117759547412e-05,0.0007891854646636552
"Gibbs, Miller and Kelly",syndicate real-time e-markets,500,4025,208,30401,1297,175,0.0426630702937403,0.1349267540478026,0,1.0,Aggressive multi-channel approach with personalized content.,3.186744309112012e-05,0.001136503894030414
"Shaw, Williams and Huber",empower collaborative info-mediaries,10,9139,253,25630,1789,500,0.0698010144362075,0.2794857462269424,1,1.0,Aggressive multi-channel approach with personalized content.,2.9754683937713444e-05,0.0010603149827924185
Cunningham Group,maximize ubiquitous methodologies,500,1587,274,49290,334,50,0.0067762223574761,0.1497005988023952,0,1.0,Aggressive multi-channel approach with personalized content.,8.03977437177203e-05,0.0028865712222591725
"Gomez, Brown and Vasquez",drive extensible channels,500,6573,127,45380,1071,437,0.0236007051564565,0.4080298786181139,1,1.0,Aggressive multi-channel approach with personalized content.,6.089089369021249e-05,0.002183128208945384
Ball-Ortiz,orchestrate frictionless e-tailers,100,4536,31,39708,405,198,0.0101994560290117,0.4888888888888889,1,1.0,Aggressive multi-channel approach with personalized content.,0.00010702471297917883,0.003846775225790286
"Johnson, Edwards and Griffin",redefine world-class relationships,10,8050,396,23728,1153,468,0.048592380310182,0.4058976582827406,1,1.0,Aggressive multi-channel approach with personalized content.,4.805228581540672e-05,0.001720150895977272
"Escobar, Parker and Johnson",monetize interactive methodologies,1000,1623,280,20524,1463,344,0.0712824010914051,0.2351332877648667,0,1.0,Aggressive multi-channel approach with personalized content.,0.00012349437382608544,0.004440693148882263
Campbell-Franklin,syndicate open-source experiences,10,6413,482,22282,972,434,0.0436226550578942,0.4465020576131687,1,1.0,Aggressive multi-channel approach with personalized content.,6.474797819216484e-05,0.0023222198173205527
White Group,cultivate one-to-one bandwidth,10,7615,78,35571,1126,389,0.031654999859436,0.3454706927175843,1,1.0,Aggressive multi-channel approach with personalized content.,4.4901311764697726e-05,0.0016065225716717778
Taylor-Baker,orchestrate B2B communities,100,891,437,38896,808,455,0.020773344302756,0.5631188118811881,1,1.0,Aggressive multi-channel approach with personalized content.,0.0004237161865170715,0.01526709189004573
Hendrix Ltd,transform impactful networks,50,7315,313,20799,1131,221,0.0543776143083802,0.1954022988505747,0,1.0,Aggressive multi-channel approach with personalized content.,2.561309461929148e-05,0.0009109637515095297
Anderson LLC,re-intermediate next-generation partnerships,100,1130,179,30023,1102,341,0.0367051926856077,0.3094373865698729,1,1.0,Aggressive multi-channel approach with personalized content.,0.00023621174547318544,0.00850543181516791
"Wright, Grant and Mahoney",integrate end-to-end interfaces,50,4455,429,43820,1477,288,0.0337060702875399,0.1949898442789438,0,1.0,Aggressive multi-channel approach with personalized content.,3.9916037723427594e-05,0.0014267469447078736
Craig-Hill,strategize efficient networks,1000,6209,414,1234,1560,360,1.2641815235008105,0.2307692307692307,0,1.0,Aggressive multi-channel approach with personalized content.,3.483835005574135e-05,0.0012436387591942429
"Hahn, Williamson and Richardson",enable front-end methodologies,100,9076,221,37634,1398,150,0.0371472604559706,0.1072961373390558,0,1.0,Aggressive multi-channel approach with personalized content.,1.1539700724785524e-05,0.0004034584087841392
"Smith, Smith and Lloyd",repurpose sexy convergence,500,3807,224,42235,792,281,0.0187522197229785,0.3547979797979798,1,1.0,Aggressive multi-channel approach with personalized content.,8.799553070386403e-05,0.003160557548319632
"Stevens, Hayes and Walker",leverage integrated web services,50,6353,457,44292,665,24,0.0150139980131852,0.0360902255639097,0,1.0,Aggressive multi-channel approach with personalized content.,5.298814500647438e-06,0.0001784037328592488
Smith-Sharp,disintermediate clicks-and-mortar e-business,10,2075,441,42040,440,188,0.0104662226450999,0.4272727272727272,1,1.0,Aggressive multi-channel approach with personalized content.,0.00016975475855094446,0.0061089042840486866
Gonzalez LLC,innovate cutting-edge mindshare,10,4705,328,48364,485,202,0.0100281200893226,0.4164948453608247,1,1.0,Aggressive multi-channel approach with personalized content.,8.27363618118444e-05,0.0029709049079542473
Bailey-Mora,implement dot-com paradigms,10,5515,495,46231,384,450,0.0083061149445177,1.171875,1,1.0,Aggressive multi-channel approach with personalized content.,0.0001949550823490268,0.007017661550547803
Lopez-Williams,transform user-centric functionalities,10,5862,252,19822,415,321,0.0209363333669659,0.7734939759036145,1,1.0,Aggressive multi-channel approach with personalized content.,0.00012649124708153956,0.004548764393104848
"Mitchell, Williams and Richardson",revolutionize integrated paradigms,10,6149,452,47260,1823,335,0.038573846804909,0.1837630279758639,0,1.0,Aggressive multi-channel approach with personalized content.,2.7834448345329282e-05,0.0009910687277858803
"Parker, Moore and Campbell",visualize extensible web-readiness,100,4440,199,12885,614,418,0.0476523088863019,0.6807817589576547,1,1.0,Aggressive multi-channel approach with personalized content.,0.00014672020667190835,0.0052782476397789865
"Golden, Perez and Clark",incentivize interactive niches,10,7211,360,26013,1972,95,0.0758082497212932,0.0481744421906693,0,1.0,Aggressive multi-channel approach with personalized content.,6.362182011446025e-06,0.00021675018269616834
Ortiz-Buchanan,monetize seamless deliverables,1000,5326,457,22877,1875,219,0.0819600472089872,0.1168,0,1.0,Aggressive multi-channel approach with personalized content.,2.0193637621023514e-05,0.0007155309083795426
Thomas-Miller,mesh proactive vortals,10,7251,414,30874,623,174,0.0201787912159098,0.2792937399678972,1,1.0,Aggressive multi-channel approach with personalized content.,3.6432786325058336e-05,0.0013011362563423474
Ewing-Bryant,utilize strategic networks,500,2076,98,17959,434,296,0.0241661562447797,0.6820276497695853,1,1.0,Aggressive multi-channel approach with personalized content.,0.000313575930928545,0.011295287463954981
"Hawkins, Smith and Ross",disintermediate innovative convergence,50,3904,306,30897,474,199,0.0153412952713855,0.4198312236286919,1,1.0,Aggressive multi-channel approach with personalized content.,9.969869950811966e-05,0.0035825894149396314
Thomas-Moore,utilize B2B e-markets,100,2798,321,46559,977,293,0.0209841276659722,0.2998976458546571,1,1.0,Aggressive multi-channel approach with personalized content.,9.612104033803113e-05,0.003453574256486685
Romero-Evans,streamline proactive models,100,1219,426,40189,1502,111,0.0373734106347508,0.073901464713715,0,1.0,Aggressive multi-channel approach with personalized content.,4.489760918208688e-05,0.0016063890516075368
Horn PLC,enhance virtual web-readiness,10,2638,78,15118,229,337,0.0151475062838999,1.4716157205240177,1,1.0,Aggressive multi-channel approach with personalized content.,0.0005416325802443937,0.01951931422249168
Rivera and Sons,iterate granular bandwidth,500,3846,477,16408,549,261,0.0334592881521209,0.4754098360655737,1,1.0,Aggressive multi-channel approach with personalized content.,0.00010994677059795876,0.003952148518430178
"Roberts, Webster and Donaldson",extend global paradigms,1000,9141,478,15295,1887,232,0.1233736515201046,0.1229464758876523,0,1.0,Aggressive multi-channel approach with personalized content.,1.2780298948820405e-05,0.00044819603437700514
"Haley, Jones and Vasquez",implement 24/365 content,50,6571,191,33523,1926,222,0.0574530919070488,0.1152647975077881,0,1.0,Aggressive multi-channel approach with personalized content.,1.70434418908455e-05,0.0006019306513498449
Price-Thornton,scale ubiquitous e-services,100,9714,34,44438,1254,285,0.0282190917683064,0.2272727272727272,0,1.0,Aggressive multi-channel approach with personalized content.,2.3312414326877342e-05,0.0008279981535126595
"Sanchez, Hernandez and Suarez",re-intermediate world-class e-services,500,1836,428,3512,370,309,0.1053530751708428,0.8351351351351352,1,1.0,Aggressive multi-channel approach with personalized content.,0.00036871308394487205,0.013283606695848098
Garcia-Flores,revolutionize impactful e-commerce,500,1657,466,9712,1715,136,0.1765856672158154,0.0793002915451895,0,1.0,Aggressive multi-channel approach with personalized content.,3.733535383483498e-05,0.0013336840438068066
"Thompson, Watts and Gray",repurpose end-to-end functionalities,50,3573,448,49380,1245,267,0.0252126366950182,0.2144578313253012,0,1.0,Aggressive multi-channel approach with personalized content.,5.332119127928921e-05,0.0019101546501022275
"White, Holden and Owens",envisioneer global architectures,10,4889,345,33593,742,339,0.0220879349864555,0.4568733153638814,1,1.0,Aggressive multi-channel approach with personalized content.,8.727283961105662e-05,0.0031344963442142743
Sandoval and Sons,facilitate turn-key users,10,578,211,12864,1605,343,0.1247667910447761,0.2137071651090342,0,1.0,Aggressive multi-channel approach with personalized content.,0.0002705153988721952,0.009742467281203844
Maldonado-Mcgee,reinvent granular technologies,100,9180,143,11030,1947,21,0.1765185856754306,0.0107858243451463,0,1.0,Aggressive multi-channel approach with personalized content.,1.1567808177977584e-06,2.903647720278854e-05
Watkins-Smith,maximize holistic e-services,50,5136,458,17803,723,498,0.0406111329551199,0.6887966804979253,1,1.0,Aggressive multi-channel approach with personalized content.,0.00012310932627308764,0.004426807820878617
Parrish-Harris,facilitate B2C infrastructures,50,2589,22,37468,1384,388,0.0369381872531226,0.2803468208092485,1,1.0,Aggressive multi-channel approach with personalized content.,0.00010733032955943664,0.0038577961670407724
Beard-Holloway,redefine granular synergies,500,4189,159,28718,1734,78,0.0603802493209833,0.0449826989619377,0,1.0,Aggressive multi-channel approach with personalized content.,1.0343228089661462e-05,0.0003603120107438458
Montgomery Group,synergize scalable bandwidth,1000,6026,18,22907,808,87,0.0352730606364866,0.1076732673267326,0,1.0,Aggressive multi-channel approach with personalized content.,1.7811954892759735e-05,0.000629644254575124
"Mcdonald, Clark and Thomas",incubate B2C relationships,100,6623,196,27553,1011,299,0.0366929191013682,0.2957467853610286,1,1.0,Aggressive multi-channel approach with personalized content.,4.33646312846083e-05,0.0015511078252678097
Perez Group,enhance world-class content,500,416,453,17582,1986,305,0.1129564327152769,0.1535750251762336,0,1.0,Aggressive multi-channel approach with personalized content.,0.00017652301744394664,0.006352976721365189
Mullins-May,iterate mission-critical channels,500,5152,22,22966,140,85,0.0060959679526256,0.6071428571428571,1,1.0,Aggressive multi-channel approach with personalized content.,0.0001173222912353347,0.004218119623687946
Moyer and Sons,utilize frictionless functionalities,1000,9722,266,40725,1933,272,0.0474647022713321,0.1407139161924469,0,1.0,Aggressive multi-channel approach with personalized content.,1.4086887195159364e-05,0.0004953133481344268
Scott-Mitchell,envisioneer bricks-and-clicks e-markets,1000,4525,241,35257,746,228,0.0211589187962674,0.3056300268096514,1,1.0,Aggressive multi-channel approach with personalized content.,6.411370396678234e-05,0.0022993470433082877
Parker-Hood,streamline out-of-the-box mindshare,100,1617,358,35607,1893,162,0.0531637037661134,0.0855784469096671,0,1.0,Aggressive multi-channel approach with personalized content.,4.3308930622301164e-05,0.00154909918513977
Vasquez Ltd,repurpose enterprise methodologies,500,4984,20,34583,829,491,0.0239713153861723,0.5922798552472859,1,1.0,Aggressive multi-channel approach with personalized content.,0.00011833763341604114,0.0042547342161072
Montgomery-Walker,maximize dot-com info-mediaries,50,4452,421,22536,1072,233,0.0475683351082712,0.2173507462686567,0,1.0,Aggressive multi-channel approach with personalized content.,4.4593915935300924e-05,0.00159543746832572
Johnson-Walsh,evolve collaborative interfaces,500,1024,12,47274,551,373,0.0116554554300461,0.676950998185118,1,1.0,Aggressive multi-channel approach with personalized content.,0.0006527974910174715,0.023528069080333936
"Higgins, Villanueva and Edwards",integrate sticky markets,1000,5805,297,4303,1525,293,0.3544039042528468,0.1921311475409836,0,1.0,Aggressive multi-channel approach with personalized content.,3.148142676404778e-05,0.0011225836307423294
"Mullins, Barton and Perry",aggregate enterprise action-items,1000,4133,391,19691,1519,436,0.0771418414504088,0.2870309414088215,1,1.0,Aggressive multi-channel approach with personalized content.,6.343225224504343e-05,0.002274772985892974
Lloyd PLC,cultivate web-enabled solutions,100,6971,102,32692,1053,459,0.0322097149149639,0.4358974358974359,1,1.0,Aggressive multi-channel approach with personalized content.,6.161965449497256e-05,0.0022094082949542728
"Watson, Sweeney and Johnson",matrix magnetic models,100,7822,445,8142,685,21,0.0841316629820682,0.0306569343065693,0,1.0,Aggressive multi-channel approach with personalized content.,3.7079020690093494e-06,0.0001210333099948843
Choi-Kelley,evolve transparent methodologies,10,5342,372,9284,269,129,0.0289745799224472,0.4795539033457249,1,1.0,Aggressive multi-channel approach with personalized content.,8.391144415498249e-05,0.003013279943553703
Ward Group,incentivize 24/365 e-business,500,8125,14,11140,701,341,0.0629263913824057,0.4864479315263909,1,1.0,Aggressive multi-channel approach with personalized content.,5.9760188148205265e-05,0.0021423534599460045
"Moore, Cooper and Brady",enable sticky ROI,100,3645,266,37413,549,300,0.0146740437815732,0.546448087431694,1,1.0,Aggressive multi-channel approach with personalized content.,0.00013968509392425717,0.005024552096765563
Collins-Garza,repurpose revolutionary systems,500,1330,117,41832,248,269,0.0059284758079938,1.0846774193548387,1,1.0,Aggressive multi-channel approach with personalized content.,0.000749086615576546,0.027000383258874626
"Valdez, Gonzales and Mccarty",morph bleeding-edge architectures,500,5047,24,17380,1671,133,0.09614499424626,0.0795930580490724,0,1.0,Aggressive multi-channel approach with personalized content.,1.5692637627971688e-05,0.000553218849099194
"Moon, Mcgee and Andrews",scale 24/365 ROI,1000,3191,136,31722,1829,299,0.0576571464598701,0.1634773100054674,0,1.0,Aggressive multi-channel approach with personalized content.,4.9121787862219766e-05,0.0017587185653597974
"Downs, Singh and Gomez",generate collaborative models,50,5421,183,32747,927,161,0.0283079366048798,0.1736785329018338,0,1.0,Aggressive multi-channel approach with personalized content.,3.09863573419864e-05,0.0011047307674884837
Ramirez-Patel,unleash wireless portals,50,7920,340,17098,579,140,0.0338636097789215,0.2417962003454231,0,1.0,Aggressive multi-channel approach with personalized content.,2.926960420595849e-05,0.0010428223610866093
"Smith, Wilson and Olson",architect end-to-end content,100,144,449,33419,1177,272,0.0352194859211825,0.2310960067969413,0,1.0,Aggressive multi-channel approach with personalized content.,0.0003890505164931672,0.014017001621972232
Rodriguez-Collins,facilitate granular partnerships,500,1630,429,35935,1295,293,0.0360372895505774,0.2262548262548262,0,1.0,Aggressive multi-channel approach with personalized content.,0.00010983243992952728,0.0039480256021314315
"Winters, Pham and Wilson",strategize impactful paradigms,100,1169,105,10496,1786,54,0.1701600609756097,0.0302351623740201,0,1.0,Aggressive multi-channel approach with personalized content.,2.3713852842368705e-05,0.0008424745614718761
Harris-Rogers,whiteboard intuitive schemas,10,6230,284,12244,110,440,0.008983992159425,4.0,1,1.0,Aggressive multi-channel approach with personalized content.,0.0006139677666922486,0.022127817463749987
Abbott-Hall,leverage strategic e-tailers,100,7098,65,48635,776,468,0.0159555875398375,0.6030927835051546,1,1.0,Aggressive multi-channel approach with personalized content.,8.418380562606848e-05,0.0030231016612406246
Rogers LLC,facilitate distributed e-business,1000,6622,108,13354,1906,238,0.1427287704058709,0.1248688352570829,0,1.0,Aggressive multi-channel approach with personalized content.,1.8551305193445683e-05,0.0006563062119221875
Willis-Johnson,re-intermediate frictionless relationships,500,2122,182,18227,1925,296,0.1056125528062764,0.1537662337662337,0,1.0,Aggressive multi-channel approach with personalized content.,6.670986280530745e-05,0.0023929679915309903
Austin-Diaz,grow 24/365 channels,500,8548,141,3052,814,492,0.2667103538663172,0.6044226044226044,1,1.0,Aggressive multi-channel approach with personalized content.,6.955380948476461e-05,0.0024955244995822634
Roberts-Moore,iterate real-time vortals,50,1248,191,4805,1198,49,0.2493236212278876,0.0409015025041736,0,1.0,Aggressive multi-channel approach with personalized content.,2.8403821183453887e-05,0.0010116010712644327
"White, Wong and Short",cultivate synergistic users,10,6944,234,41568,481,238,0.0115714010777521,0.4948024948024948,1,1.0,Aggressive multi-channel approach with personalized content.,6.892359587721059e-05,0.0024727981568614245
Lamb-Potter,brand open-source portals,500,2142,349,34124,583,124,0.017084749736256,0.2126929674099485,0,1.0,Aggressive multi-channel approach with personalized content.,8.535030794941754e-05,0.0030651672898898974
Brooks-Stanton,benchmark next-generation experiences,50,1539,169,45096,555,228,0.0123070782331027,0.4108108108108108,1,1.0,Aggressive multi-channel approach with personalized content.,0.00024038081381557098,0.00865577397668262
Melendez LLC,seize customized architectures,500,6247,276,30909,1034,402,0.0334530395677634,0.3887814313346228,1,1.0,Aggressive multi-channel approach with personalized content.,5.959249407336339e-05,0.00213630618808226
"Ward, Wilson and Scott",unleash B2C metrics,100,2581,58,6586,1611,351,0.2446097783176435,0.217877094972067,0,1.0,Aggressive multi-channel approach with personalized content.,8.252920264093448e-05,0.0029634344721219644
"Cunningham, Mcdonald and Bates",benchmark user-centric synergies,100,212,335,43389,144,356,0.0033188135241651,2.4722222222222223,1,1.0,Aggressive multi-channel approach with personalized content.,0.004511354420113544,0.16267277514095232
"Parker, Ward and Hahn",engineer sticky systems,50,6464,449,47384,1582,303,0.0333867972311328,0.1915297092288242,0,1.0,Aggressive multi-channel approach with personalized content.,2.770172248030434e-05,0.000986282456178411
Davis-Thomas,aggregate vertical synergies,50,746,355,36409,1356,178,0.0372435386854898,0.131268436578171,0,1.0,Aggressive multi-channel approach with personalized content.,0.00011911836350106262,0.0042828883836338785
"Mcgee, Dunn and Johnson",iterate innovative niches,500,4385,388,11602,991,113,0.0854163075331839,0.1140262361251261,0,1.0,Aggressive multi-channel approach with personalized content.,2.388484208737455e-05,0.0008486406615639742
Hammond-Steele,maximize dot-com experiences,500,3220,149,20108,1532,194,0.0761885816590411,0.1266318537859007,0,1.0,Aggressive multi-channel approach with personalized content.,3.757621774062335e-05,0.0013423699173049557
Kelly-Nelson,expedite mission-critical platforms,10,4790,385,35802,1847,267,0.0515892966873359,0.1445587439090417,0,1.0,Aggressive multi-channel approach with personalized content.,2.792865995151501e-05,0.0009944661238826856
Gates Inc,repurpose 24/7 metrics,50,7918,348,48143,327,408,0.0067922647113806,1.2477064220183487,1,1.0,Aggressive multi-channel approach with personalized content.,0.0001509261427383995,0.005429919300567147
Kramer PLC,deploy magnetic eyeballs,500,7645,497,13854,1469,206,0.1060343583080698,0.1402314499659632,0,1.0,Aggressive multi-channel approach with personalized content.,1.7221104011539138e-05,0.0006083373842337403
"Anderson, Mendez and Howell",deliver scalable schemas,1000,7383,294,25635,1127,219,0.0439633313828749,0.1943212067435669,0,1.0,Aggressive multi-channel approach with personalized content.,2.5308831302887068e-05,0.0008999916107574069
Graham Inc,re-contextualize revolutionary e-markets,100,8124,79,9377,1876,284,0.2000639863495787,0.1513859275053305,0,1.0,Aggressive multi-channel approach with personalized content.,1.8452697160571733e-05,0.0006527502748188633
Kim PLC,orchestrate next-generation channels,10,2089,150,9049,1816,23,0.2006851585810586,0.0126651982378854,0,1.0,Aggressive multi-channel approach with personalized content.,5.654106356198839e-06,0.00019121603075062987
Rice Group,innovate plug-and-play synergies,50,654,430,10125,1232,154,0.121679012345679,0.125,0,1.0,Aggressive multi-channel approach with personalized content.,0.0001152073732718894,0.0041418528628824084
Baker and Sons,e-enable bleeding-edge e-markets,50,3885,244,43419,1879,467,0.0432759851677836,0.2485364555614688,0,1.0,Aggressive multi-channel approach with personalized content.,6.017831853788591e-05,0.0021574317991376346
"Diaz, Miller and Jordan",repurpose global models,50,5748,265,19266,1349,462,0.0700197238658777,0.3424759080800593,1,1.0,Aggressive multi-channel approach with personalized content.,5.694644297972386e-05,0.002040886058637104
"Stanton, Lee and Wright",leverage viral markets,500,8935,353,12697,570,40,0.0448924942899897,0.0701754385964912,0,1.0,Aggressive multi-channel approach with personalized content.,7.554681730702034e-06,0.0002597533120946295
